Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:18:17,2018-07-09 17:18:36,19.614s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:18:17,2018-07-09 17:18:28,10.679s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:18:18,2018-07-09 17:18:22,3.941s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:18:22,2018-07-09 17:18:26,4.201s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:26,2018-07-09 17:18:26,0.136s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:26,2018-07-09 17:18:26,0.098s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:18:26,2018-07-09 17:18:26,0.266s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:26,2018-07-09 17:18:26,0.043s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:26,2018-07-09 17:18:26,0.036s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:18:26,2018-07-09 17:18:27,0.155s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:27,2018-07-09 17:18:27,0.207s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:18:27,2018-07-09 17:18:27,0.521s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:18:27,2018-07-09 17:18:28,0.263s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:18:28,2018-07-09 17:18:28,0.300s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-09 17:18:28,2018-07-09 17:18:28,0.001s,NOT_RUN
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:18:28,2018-07-09 17:18:36,7.744s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:18:28,2018-07-09 17:18:31,2.871s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:18:31,2018-07-09 17:18:34,3.543s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:34,2018-07-09 17:18:34,0.077s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:34,2018-07-09 17:18:35,0.045s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:18:35,2018-07-09 17:18:35,0.191s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:35,2018-07-09 17:18:35,0.037s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:35,2018-07-09 17:18:35,0.025s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:18:35,2018-07-09 17:18:35,0.196s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:18:35,2018-07-09 17:18:35,0.173s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:18:35,2018-07-09 17:18:36,0.562s,FAILED
