Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:14:16,2018-07-10 12:15:49,1m - 33.384s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:14:16,2018-07-10 12:15:49,1m - 32.871s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 12:14:17,2018-07-10 12:14:20,3.477s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 12:14:20,2018-07-10 12:14:24,3.578s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:14:24,2018-07-10 12:14:24,0.846s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 12:14:24,2018-07-10 12:14:25,0.550s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:14:25,2018-07-10 12:14:25,0.154s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:14:25,2018-07-10 12:14:25,0.038s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:14:25,2018-07-10 12:14:25,0.050s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:14:25,2018-07-10 12:14:36,10.361s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:14:36,2018-07-10 12:14:39,2.875s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:14:39,2018-07-10 12:14:40,1.745s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:14:40,2018-07-10 12:14:40,0.106s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:14:40,2018-07-10 12:14:41,0.642s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:14:41,2018-07-10 12:14:41,0.169s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:14:41,2018-07-10 12:14:42,0.330s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:14:42,2018-07-10 12:14:52,10.600s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:14:52,2018-07-10 12:14:54,1.922s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:14:54,2018-07-10 12:14:58,3.647s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:14:58,2018-07-10 12:14:58,0.021s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:14:58,2018-07-10 12:14:58,0.106s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:14:58,2018-07-10 12:14:58,0.085s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:14:58,2018-07-10 12:14:58,0.089s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:14:58,2018-07-10 12:15:08,10.342s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:15:08,2018-07-10 12:15:10,2.049s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:15:10,2018-07-10 12:15:12,1.265s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:15:12,2018-07-10 12:15:12,0.294s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:15:12,2018-07-10 12:15:12,0.539s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:15:12,2018-07-10 12:15:13,0.070s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:15:13,2018-07-10 12:15:13,0.193s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:15:13,2018-07-10 12:15:23,10.496s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:15:23,2018-07-10 12:15:25,2.082s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:15:25,2018-07-10 12:15:27,1.602s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:15:27,2018-07-10 12:15:27,0.054s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:15:27,2018-07-10 12:15:27,0.387s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:15:27,2018-07-10 12:15:27,0.081s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:15:27,2018-07-10 12:15:28,0.183s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:15:28,2018-07-10 12:15:38,10.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:15:38,2018-07-10 12:15:48,10.493s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 12:15:48,2018-07-10 12:15:49,0.659s,PASSED
