Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:41:19,2018-07-09 17:41:37,18.104s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:41:19,2018-07-09 17:41:29,9.938s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:41:19,2018-07-09 17:41:23,3.502s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:41:23,2018-07-09 17:41:27,4.622s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:27,2018-07-09 17:41:28,0.126s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:28,0.111s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:28,0.169s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:28,0.050s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:28,0.042s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:28,0.230s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:28,0.126s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:41:28,2018-07-09 17:41:29,0.571s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:41:29,2018-07-09 17:41:36,7.132s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:41:29,2018-07-09 17:41:31,2.612s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:41:31,2018-07-09 17:41:35,3.398s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:35,0.091s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:35,0.061s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:35,0.205s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:35,0.041s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:35,0.037s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:35,0.140s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:41:35,2018-07-09 17:41:36,0.097s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:41:36,2018-07-09 17:41:36,0.431s,FAILED
