Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Firefox 62.0,,2018-07-09 15:21:45,2018-07-09 15:22:10,24.951s,PASSED
,,,,,,
Test Cases/Snapdeal Web Page,Firefox 62.0,,2018-07-09 15:21:45,2018-07-09 15:21:58,12.678s,PASSED
openBrowser,Firefox 62.0,,2018-07-09 15:21:46,2018-07-09 15:21:52,6.033s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-09 15:21:52,2018-07-09 15:21:54,2.026s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 15:21:54,2018-07-09 15:21:55,0.671s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 15:21:55,2018-07-09 15:21:55,0.422s,PASSED
click,Firefox 62.0,,2018-07-09 15:21:55,2018-07-09 15:21:56,1.160s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 15:21:56,2018-07-09 15:21:56,0.120s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 15:21:56,2018-07-09 15:21:56,0.080s,PASSED
click,Firefox 62.0,,2018-07-09 15:21:56,2018-07-09 15:21:57,0.435s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 15:21:57,2018-07-09 15:21:57,0.284s,PASSED
setText,Firefox 62.0,,2018-07-09 15:21:57,2018-07-09 15:21:57,0.199s,PASSED
click,Firefox 62.0,,2018-07-09 15:21:57,2018-07-09 15:21:58,0.431s,PASSED
click,Firefox 62.0,,2018-07-09 15:21:58,2018-07-09 15:21:58,0.444s,PASSED
closeBrowser,Firefox 62.0,,2018-07-09 15:21:58,2018-07-09 15:21:58,0.002s,NOT_RUN
,,,,,,
Test Cases/Snapdeal Web Page,Firefox 62.0,,2018-07-09 15:21:58,2018-07-09 15:22:10,11.374s,PASSED
openBrowser,Firefox 62.0,,2018-07-09 15:21:58,2018-07-09 15:22:03,4.918s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-09 15:22:03,2018-07-09 15:22:06,3.309s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 15:22:06,2018-07-09 15:22:07,0.125s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 15:22:07,2018-07-09 15:22:07,0.418s,PASSED
click,Firefox 62.0,,2018-07-09 15:22:07,2018-07-09 15:22:08,0.890s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 15:22:08,2018-07-09 15:22:08,0.031s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-09 15:22:08,2018-07-09 15:22:08,0.074s,PASSED
click,Firefox 62.0,,2018-07-09 15:22:08,2018-07-09 15:22:08,0.471s,PASSED
waitForElementPresent,Firefox 62.0,,2018-07-09 15:22:08,2018-07-09 15:22:09,0.272s,PASSED
setText,Firefox 62.0,,2018-07-09 15:22:09,2018-07-09 15:22:09,0.171s,PASSED
click,Firefox 62.0,,2018-07-09 15:22:09,2018-07-09 15:22:09,0.338s,PASSED
click,Firefox 62.0,,2018-07-09 15:22:09,2018-07-09 15:22:10,0.314s,PASSED
closeBrowser,Firefox 62.0,,2018-07-09 15:22:10,2018-07-09 15:22:10,0.001s,NOT_RUN
