Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:07:12,2018-07-10 12:08:52,1m - 40.626s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:07:12,2018-07-10 12:08:52,1m - 40.171s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 12:07:12,2018-07-10 12:07:17,4.213s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 12:07:17,2018-07-10 12:07:22,5.395s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:07:22,2018-07-10 12:07:22,0.068s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 12:07:22,2018-07-10 12:07:23,0.475s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:07:23,2018-07-10 12:07:23,0.169s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:07:23,2018-07-10 12:07:23,0.049s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:07:23,2018-07-10 12:07:23,0.083s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:07:23,2018-07-10 12:07:33,10.441s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:07:33,2018-07-10 12:07:37,3.584s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:07:37,2018-07-10 12:07:39,2.361s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:07:39,2018-07-10 12:07:39,0.116s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:07:39,2018-07-10 12:07:40,0.375s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:07:40,2018-07-10 12:07:40,0.060s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:07:40,2018-07-10 12:07:40,0.113s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:07:40,2018-07-10 12:07:50,10.444s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:07:50,2018-07-10 12:07:53,2.382s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:07:53,2018-07-10 12:07:56,3.311s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:07:56,2018-07-10 12:07:56,0.077s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:07:56,2018-07-10 12:07:56,0.284s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:07:56,2018-07-10 12:07:57,0.282s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:07:57,2018-07-10 12:07:57,0.100s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:07:57,2018-07-10 12:08:07,10.196s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:08:07,2018-07-10 12:08:15,7.935s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:08:15,2018-07-10 12:08:17,1.740s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:08:17,2018-07-10 12:08:17,0.061s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:08:17,2018-07-10 12:08:17,0.379s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:08:17,2018-07-10 12:08:17,0.075s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:08:17,2018-07-10 12:08:17,0.203s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:08:17,2018-07-10 12:08:28,10.534s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:08:28,2018-07-10 12:08:30,2.404s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:08:30,2018-07-10 12:08:32,1.628s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:08:32,2018-07-10 12:08:32,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:08:32,2018-07-10 12:08:32,0.362s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:08:33,2018-07-10 12:08:33,0.075s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:08:33,2018-07-10 12:08:33,0.131s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:08:33,2018-07-10 12:08:43,10.435s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:08:43,2018-07-10 12:08:51,8.331s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 12:08:51,2018-07-10 12:08:52,0.694s,PASSED
