Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:44:38,2018-07-10 12:45:11,32.371s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:44:39,2018-07-10 12:45:11,31.860s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 12:44:39,2018-07-10 12:44:44,4.121s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 12:44:44,2018-07-10 12:44:50,5.938s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:44:50,2018-07-10 12:44:50,0.283s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 12:44:50,2018-07-10 12:44:50,0.440s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:44:50,2018-07-10 12:44:51,0.268s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:44:51,2018-07-10 12:44:51,0.043s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:44:51,2018-07-10 12:44:51,0.070s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:44:51,2018-07-10 12:45:01,10.302s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:45:01,2018-07-10 12:45:09,8.064s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.008s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.004s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.007s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.003s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.004s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.005s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.018s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.006s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.005s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.005s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.003s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.006s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.004s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.001s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.002s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.039s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.029s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.008s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.017s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.025s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.006s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.004s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.006s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.004s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.014s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.004s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.003s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:09,0.018s,NOT_RUN
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 12:45:09,2018-07-10 12:45:11,1.281s,PASSED
