Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 11:29:54,2018-07-10 11:31:38,1m - 43.514s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 11:29:55,2018-07-10 11:31:38,1m - 42.733s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 11:29:56,2018-07-10 11:30:03,7.024s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 11:30:03,2018-07-10 11:30:10,6.966s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:30:10,2018-07-10 11:30:10,0.350s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:30:10,2018-07-10 11:30:10,0.080s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:30:10,2018-07-10 11:30:11,0.296s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:30:11,2018-07-10 11:30:21,10.465s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:30:21,2018-07-10 11:30:25,3.297s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:30:25,2018-07-10 11:30:27,2.219s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:30:27,2018-07-10 11:30:27,0.141s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:30:27,2018-07-10 11:30:27,0.358s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:30:27,2018-07-10 11:30:27,0.128s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:30:27,2018-07-10 11:30:28,0.136s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:30:28,2018-07-10 11:30:38,10.266s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:30:38,2018-07-10 11:30:41,3.031s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:30:41,2018-07-10 11:30:42,1.318s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:30:42,2018-07-10 11:30:42,0.058s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:30:42,2018-07-10 11:30:43,0.780s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:30:43,2018-07-10 11:30:43,0.096s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:30:43,2018-07-10 11:30:43,0.204s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:30:43,2018-07-10 11:30:54,10.352s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:30:54,2018-07-10 11:30:57,3.235s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:30:57,2018-07-10 11:30:59,1.841s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:30:59,2018-07-10 11:31:00,0.926s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:31:00,2018-07-10 11:31:00,0.193s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:31:00,2018-07-10 11:31:00,0.080s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:31:00,2018-07-10 11:31:00,0.137s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:31:00,2018-07-10 11:31:10,10.291s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:31:10,2018-07-10 11:31:12,2.081s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:31:12,2018-07-10 11:31:14,1.988s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:31:14,2018-07-10 11:31:15,0.317s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:31:15,2018-07-10 11:31:15,0.455s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:31:15,2018-07-10 11:31:15,0.056s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:31:15,2018-07-10 11:31:15,0.142s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:31:15,2018-07-10 11:31:26,10.389s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:31:26,2018-07-10 11:31:37,11.406s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 11:31:37,2018-07-10 11:31:38,0.757s,PASSED
