Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:32:41,2018-07-09 17:32:57,16.830s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:32:41,2018-07-09 17:32:50,8.535s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:32:42,2018-07-09 17:32:45,3.209s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:32:45,2018-07-09 17:32:48,3.546s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:48,2018-07-09 17:32:48,0.171s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:48,2018-07-09 17:32:49,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:49,2018-07-09 17:32:49,0.142s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:49,2018-07-09 17:32:49,0.049s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:49,2018-07-09 17:32:49,0.029s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:49,2018-07-09 17:32:49,0.151s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:49,2018-07-09 17:32:49,0.144s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:32:49,2018-07-09 17:32:50,0.534s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:32:50,2018-07-09 17:32:57,7.268s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:32:50,2018-07-09 17:32:52,2.724s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:32:52,2018-07-09 17:32:56,3.401s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.060s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.045s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.198s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.037s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.066s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.156s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:56,0.089s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:32:56,2018-07-09 17:32:57,0.477s,FAILED
