Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-09 17:43:45,2018-07-09 17:44:03,17.836s,FAILED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-09 17:43:45,2018-07-09 17:44:02,16.743s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:43:46,2018-07-09 17:43:49,3.092s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:43:49,2018-07-09 17:43:52,3.109s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:43:52,2018-07-09 17:43:52,0.411s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:43:52,2018-07-09 17:43:55,2.668s,PASSED
back,Chrome 67.0.3396.99,,2018-07-09 17:43:55,2018-07-09 17:43:56,1.237s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-09 17:43:56,2018-07-09 17:43:57,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:43:57,2018-07-09 17:43:57,0.411s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:43:57,2018-07-09 17:44:00,2.866s,PASSED
back,Chrome 67.0.3396.99,,2018-07-09 17:44:00,2018-07-09 17:44:01,1.226s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-09 17:44:01,2018-07-09 17:44:01,0.066s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:44:01,2018-07-09 17:44:02,0.431s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:44:02,2018-07-09 17:44:02,0.687s,FAILED
