Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 11:31:43,2018-07-10 11:33:33,1m - 49.113s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 11:31:44,2018-07-10 11:33:32,1m - 48.298s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 11:31:45,2018-07-10 11:31:50,4.480s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 11:31:50,2018-07-10 11:31:55,4.968s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:31:55,2018-07-10 11:31:55,0.248s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:31:55,2018-07-10 11:31:55,0.072s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:31:55,2018-07-10 11:31:55,0.107s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:31:55,2018-07-10 11:32:06,10.530s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:32:06,2018-07-10 11:32:16,9.987s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:32:16,2018-07-10 11:32:17,1.665s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:32:17,2018-07-10 11:32:17,0.107s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:32:17,2018-07-10 11:32:18,0.361s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:32:18,2018-07-10 11:32:18,0.096s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:32:18,2018-07-10 11:32:18,0.153s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:32:18,2018-07-10 11:32:28,10.194s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:32:28,2018-07-10 11:32:30,2.275s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:32:30,2018-07-10 11:32:32,1.632s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:32:32,2018-07-10 11:32:32,0.060s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:32:32,2018-07-10 11:32:33,0.455s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:32:33,2018-07-10 11:32:33,0.067s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:32:33,2018-07-10 11:32:33,0.145s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:32:33,2018-07-10 11:32:43,10.599s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:32:43,2018-07-10 11:32:52,8.512s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:32:52,2018-07-10 11:32:53,1.051s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:32:53,2018-07-10 11:32:53,0.053s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:32:53,2018-07-10 11:32:54,0.708s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:32:54,2018-07-10 11:32:54,0.226s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:32:54,2018-07-10 11:32:55,0.646s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:32:55,2018-07-10 11:33:05,10.508s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:33:05,2018-07-10 11:33:09,3.915s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 11:33:09,2018-07-10 11:33:11,1.669s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 11:33:11,2018-07-10 11:33:11,0.151s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:33:11,2018-07-10 11:33:11,0.712s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:33:11,2018-07-10 11:33:12,0.195s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 11:33:12,2018-07-10 11:33:12,0.137s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 11:33:12,2018-07-10 11:33:22,10.494s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:33:22,2018-07-10 11:33:31,8.964s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 11:33:31,2018-07-10 11:33:32,1.197s,PASSED
