Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:30:45,2018-07-09 17:31:03,17.617s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:30:46,2018-07-09 17:30:55,8.962s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:30:46,2018-07-09 17:30:50,3.980s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:30:50,2018-07-09 17:30:53,2.924s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:30:53,2018-07-09 17:30:53,0.160s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:30:53,2018-07-09 17:30:53,0.170s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:30:53,2018-07-09 17:30:54,0.274s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:30:54,2018-07-09 17:30:54,0.048s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:30:54,2018-07-09 17:30:54,0.034s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:30:54,2018-07-09 17:30:54,0.182s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:30:54,2018-07-09 17:30:54,0.145s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:30:54,2018-07-09 17:30:55,0.658s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-09 17:30:55,2018-07-09 17:31:02,7.706s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-09 17:30:55,2018-07-09 17:30:57,2.673s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-09 17:30:57,2018-07-09 17:31:01,3.840s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:31:01,2018-07-09 17:31:01,0.066s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:31:01,2018-07-09 17:31:01,0.053s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:31:01,2018-07-09 17:31:02,0.259s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:31:02,2018-07-09 17:31:02,0.056s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:31:02,2018-07-09 17:31:02,0.063s,PASSED
click,Chrome 67.0.3396.99,,2018-07-09 17:31:02,2018-07-09 17:31:02,0.116s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-09 17:31:02,2018-07-09 17:31:02,0.109s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-09 17:31:02,2018-07-09 17:31:02,0.439s,FAILED
