Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-10 11:18:27,2018-07-10 11:18:49,21.829s,FAILED
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-10 11:18:27,2018-07-10 11:18:39,12.022s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 11:18:28,2018-07-10 11:18:31,3.598s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 11:18:31,2018-07-10 11:18:37,5.716s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:37,2018-07-10 11:18:37,0.173s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:37,2018-07-10 11:18:37,0.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:18:37,2018-07-10 11:18:38,0.206s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:38,2018-07-10 11:18:38,0.237s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:38,2018-07-10 11:18:38,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:18:38,2018-07-10 11:18:38,0.167s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:38,2018-07-10 11:18:38,0.234s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 11:18:38,2018-07-10 11:18:39,0.469s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:18:39,2018-07-10 11:18:39,0.248s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:18:39,2018-07-10 11:18:39,0.325s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 11:18:39,2018-07-10 11:18:39,0.003s,NOT_RUN
,,,,,,
Test Cases/Snapdeal Web Page,Chrome 67.0.3396.99,,2018-07-10 11:18:39,2018-07-10 11:18:48,8.606s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 11:18:39,2018-07-10 11:18:42,2.791s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 11:18:42,2018-07-10 11:18:47,4.575s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.093s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.053s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.244s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.037s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.036s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.131s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:47,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 11:18:47,2018-07-10 11:18:48,0.504s,FAILED
