Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Firefox 62.0,,2018-07-09 17:44:30,2018-07-09 17:44:45,14.566s,FAILED
,,,,,,
Test Cases/SD Banner,Firefox 62.0,,2018-07-09 17:44:30,2018-07-09 17:44:44,13.620s,FAILED
openBrowser,Firefox 62.0,,2018-07-09 17:44:31,2018-07-09 17:44:37,5.748s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-09 17:44:37,2018-07-09 17:44:39,2.227s,PASSED
click,Firefox 62.0,,2018-07-09 17:44:39,2018-07-09 17:44:40,1.468s,PASSED
click,Firefox 62.0,,2018-07-09 17:44:40,2018-07-09 17:44:42,1.858s,PASSED
back,Firefox 62.0,,2018-07-09 17:44:42,2018-07-09 17:44:43,0.464s,PASSED
waitForPageLoad,Firefox 62.0,,2018-07-09 17:44:43,2018-07-09 17:44:43,0.115s,PASSED
click,Firefox 62.0,,2018-07-09 17:44:43,2018-07-09 17:44:43,0.471s,PASSED
click,Firefox 62.0,,2018-07-09 17:44:43,2018-07-09 17:44:44,0.913s,FAILED
